YEAR,QUARTER,MONTH,OP_UNIQUE_CARRIER,ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST_CITY_NAME,DEP_DELAY,DEP_DEL15,ARR_DELAY,ARR_DEL15,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",,,,,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",,,,,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",-1,0,30,1,0,0,30,0,0
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",,,,,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",4,0,-15,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",,,,,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",93,1,102,1,0,0,102,0,0
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",25,1,6,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",8,0,-18,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",4,0,-9,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",10,0,7,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",-2,0,-30,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",6,0,-25,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",7,0,4,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",2,0,-13,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",-3,0,-6,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",-4,0,-40,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",-3,0,-12,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",1,0,-44,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",25,1,10,0,,,,,
2015,1,1,UA,10721,"Boston, MA",11292,"Denver, CO",3,0,-11,0,,,,,
